Id,Weekly_Sales
1_1_2012-11-02,27466.360700000016
1_1_2012-11-09,21532.3961
1_1_2012-11-16,20976.30800000001
1_1_2012-11-23,20946.597700000006
1_1_2012-11-30,22701.016900000013
1_1_2012-12-07,35222.3246
1_1_2012-12-14,32376.363000000023
1_1_2012-12-21,49133.12130000002
1_1_2012-12-28,22671.041800000003
1_1_2013-01-04,18672.70449999998
1_1_2013-01-11,18342.543099999984
1_1_2013-01-18,18703.01929999998
1_1_2013-01-25,18425.408399999997
1_1_2013-02-01,32563.634800000043
1_1_2013-02-08,34593.116800000054
1_1_2013-02-15,31791.556700000045
1_1_2013-02-22,27157.97640000003
1_1_2013-03-01,25715.9407
1_1_2013-03-08,24059.950299999993
1_1_2013-03-15,22796.155399999985
1_1_2013-03-22,30375.926399999997
1_1_2013-03-29,26428.19890000001
1_1_2013-04-05,32787.249299999996
1_1_2013-04-12,35866.3304
1_1_2013-04-19,22300.089000000004
1_1_2013-04-26,22944.620200000016
1_1_2013-05-03,19953.482399999994
1_1_2013-05-10,26441.66939999998
1_1_2013-05-17,38777.12330000001
1_1_2013-05-24,30834.214600000043
1_1_2013-05-31,17660.896800000024
1_1_2013-06-07,22472.25770000003
1_1_2013-06-14,33858.236800000064
1_1_2013-06-21,34054.06880000001
1_1_2013-06-28,30261.63040000004
1_1_2013-07-05,31775.508199999993
1_1_2013-07-12,22675.61410000002
1_1_2013-07-19,21433.13480000001
1_1_2013-07-26,16643.060599999997
1_2_2012-11-02,48642.836000000025
1_2_2012-11-09,47972.26009999998
1_2_2012-11-16,45445.097700000035
1_2_2012-11-23,44461.78819999997
1_2_2012-11-30,47401.04420000001
1_2_2012-12-07,50434.72479999997
1_2_2012-12-14,53025.48669999999
1_2_2012-12-21,55806.1267
1_2_2012-12-28,41838.535500000005
1_2_2013-01-04,42486.841299999964
1_2_2013-01-11,44161.81879999997
1_2_2013-01-18,42985.26139999994
1_2_2013-01-25,42390.2379
1_2_2013-02-01,50161.82589999999
1_2_2013-02-08,52453.41110000001
1_2_2013-02-15,51295.00490000003
1_2_2013-02-22,51821.536100000005
1_2_2013-03-01,48491.20940000003
1_2_2013-03-08,44791.09879999995
1_2_2013-03-15,46095.99280000002
1_2_2013-03-22,48882.53419999998
1_2_2013-03-29,47904.906899999994
1_2_2013-04-05,48620.36230000001
1_2_2013-04-12,46501.946199999955
1_2_2013-04-19,46292.098399999944
1_2_2013-04-26,47470.31700000001
1_2_2013-05-03,47093.19379999999
1_2_2013-05-10,47319.60349999997
1_2_2013-05-17,51046.35059999993
1_2_2013-05-24,48642.38699999997
1_2_2013-05-31,46755.04029999997
1_2_2013-06-07,46385.740099999966
1_2_2013-06-14,49889.740699999966
1_2_2013-06-21,49790.99979999996
1_2_2013-06-28,47994.34019999995
1_2_2013-07-05,48259.90939999998
1_2_2013-07-12,45076.67920000002
1_2_2013-07-19,47178.86100000001
1_2_2013-07-26,45636.392199999995
1_3_2012-11-02,10097.169099999997
1_3_2012-11-09,10257.723000000004
1_3_2012-11-16,10168.9385
1_3_2012-11-23,9426.473200000013
1_3_2012-11-30,10107.183599999995
1_3_2012-12-07,11800.55590000001
1_3_2012-12-14,12546.375300000009
1_3_2012-12-21,12825.69140000001
1_3_2012-12-28,8837.764199999992
1_3_2013-01-04,12812.4224
1_3_2013-01-11,13398.889000000008
1_3_2013-01-18,12362.7847
1_3_2013-01-25,11382.261800000002
1_3_2013-02-01,11411.616800000002
1_3_2013-02-08,11956.186300000012
