Id,Weekly_Sales
1_1_2012-11-02,19961.1413
1_1_2012-11-09,23485.7133
1_1_2012-11-16,17649.7535
1_1_2012-11-23,28710.2007
1_1_2012-11-30,16596.766399999993
1_1_2012-12-07,25576.535400000004
1_1_2012-12-14,15268.8822
1_1_2012-12-21,17900.234099999998
1_1_2012-12-28,27705.076500000003
1_1_2013-01-04,16860.19969999999
1_1_2013-01-11,17439.79929999999
1_1_2013-01-18,16374.1226
1_1_2013-01-25,16619.699399999994
1_1_2013-02-01,19564.447999999997
1_1_2013-02-08,24748.303700000004
1_1_2013-02-15,22929.51040000001
1_1_2013-02-22,19410.4584
1_1_2013-03-01,17162.137
1_1_2013-03-08,15930.836899999993
1_1_2013-03-15,17048.003899999996
1_1_2013-03-22,22841.444100000008
1_1_2013-03-29,16327.740799999996
1_1_2013-04-05,18839.589899999995
1_1_2013-04-12,18159.3448
1_1_2013-04-19,18107.3504
1_1_2013-04-26,18268.210000000006
1_1_2013-05-03,17717.061899999993
1_1_2013-05-10,21972.2005
1_1_2013-05-17,27620.159300000014
1_1_2013-05-24,29116.147400000016
1_1_2013-05-31,25373.576900000004
1_1_2013-06-07,25571.855900000002
1_1_2013-06-14,29081.21190000001
1_1_2013-06-21,29118.247200000016
1_1_2013-06-28,26940.810900000008
1_1_2013-07-05,30671.238800000006
1_1_2013-07-12,24752.97400000001
1_1_2013-07-19,24155.7935
1_1_2013-07-26,23767.252099999998
1_2_2012-11-02,43072.269400000005
1_2_2012-11-09,44460.56189999998
1_2_2012-11-16,44378.72769999999
1_2_2012-11-23,42179.94660000001
1_2_2012-11-30,41828.83819999997
1_2_2012-12-07,44363.53889999997
1_2_2012-12-14,40954.49799999998
1_2_2012-12-21,43051.7172
1_2_2012-12-28,41633.59970000002
1_2_2013-01-04,39750.20399999997
1_2_2013-01-11,40738.71479999999
1_2_2013-01-18,39508.24839999996
1_2_2013-01-25,40721.657299999984
1_2_2013-02-01,45560.052
1_2_2013-02-08,45962.00840000002
1_2_2013-02-15,44353.07320000001
1_2_2013-02-22,44392.28140000001
1_2_2013-03-01,42143.717599999996
1_2_2013-03-08,41234.28209999998
1_2_2013-03-15,42423.778499999986
1_2_2013-03-22,43673.366400000006
1_2_2013-03-29,42097.04749999999
1_2_2013-04-05,43959.435199999985
1_2_2013-04-12,41680.8563
1_2_2013-04-19,42039.35839999997
1_2_2013-04-26,42448.19270000001
1_2_2013-05-03,41130.94609999997
1_2_2013-05-10,42604.81839999997
1_2_2013-05-17,45357.78219999997
1_2_2013-05-24,42863.34159999997
1_2_2013-05-31,41890.977999999974
1_2_2013-06-07,42239.6856
1_2_2013-06-14,43791.675099999986
1_2_2013-06-21,44294.51369999998
1_2_2013-06-28,43896.47709999999
1_2_2013-07-05,43860.34849999999
1_2_2013-07-12,42145.077199999985
1_2_2013-07-19,43084.6689
1_2_2013-07-26,41077.227300000006
1_3_2012-11-02,11235.320099999995
1_3_2012-11-09,11404.6015
1_3_2012-11-16,11848.943400000004
1_3_2012-11-23,10895.073400000005
1_3_2012-11-30,11477.066399999996
1_3_2012-12-07,11051.581400000003
1_3_2012-12-14,11894.9617
1_3_2012-12-21,11286.053099999997
1_3_2012-12-28,10649.916499999994
1_3_2013-01-04,11336.670800000004
1_3_2013-01-11,12154.3258
1_3_2013-01-18,10891.677299999998
1_3_2013-01-25,10524.660000000007
1_3_2013-02-01,11306.423700000003
1_3_2013-02-08,11407.751000000004
1_3_2013-02-15,11966.989800000005
1_3_2013-02-22,11925.456300000005
1_3_2013-03-01,12084.647999999996
1_3_2013-03-08,11625.786100000003
1_3_2013-03-15,10696.908100000002
1_3_2013-03-22,10999.6375
1_3_2013-03-29,11870.4904
1_3_2013-04-05,11598.695100000003
1_3_2013-04-12,10643.912199999999
1_3_2013-04-19,9932.519200000002
1_3_2013-04-26,10962.659600000003
1_3_2013-05-03,9941.111600000007
1_3_2013-05-10,10750.6467
1_3_2013-05-17,10739.2304
1_3_2013-05-24,9951.631899999998
1_3_2013-05-31,9320.5355
1_3_2013-06-07,9830.058500000003
1_3_2013-06-14,9940.332699999994
1_3_2013-06-21,10043.513099999996
1_3_2013-06-28,9242.484699999999
1_3_2013-07-05,9832.017399999993
1_3_2013-07-12,9236.636999999999
1_3_2013-07-19,9711.218399999994
1_3_2013-07-26,9380.609000000002
1_4_2012-11-02,29815.833100000025
1_4_2012-11-09,30885.92220000001
1_4_2012-11-16,29895.60100000001
1_4_2012-11-23,30245.765499999998
1_4_2012-11-30,29712.939500000008
1_4_2012-12-07,30464.471199999993
1_4_2012-12-14,30038.395800000002
1_4_2012-12-21,29135.871100000008
1_4_2012-12-28,30153.26949999999
1_4_2013-01-04,30025.416299999997
1_4_2013-01-11,30625.661300000003
1_4_2013-01-18,28956.896200000007
1_4_2013-01-25,27936.263100000015
1_4_2013-02-01,29628.6889
1_4_2013-02-08,31635.055500000002
1_4_2013-02-15,31209.30010000001
1_4_2013-02-22,31240.373800000016
1_4_2013-03-01,30013.1965
1_4_2013-03-08,29420.290900000004
1_4_2013-03-15,29449.152100000018
1_4_2013-03-22,29774.324699999994
1_4_2013-03-29,30120.951299999993
1_4_2013-04-05,30423.792000000012
1_4_2013-04-12,28718.41620000001
1_4_2013-04-19,28692.759700000002
1_4_2013-04-26,28688.39880000001
1_4_2013-05-03,28299.090300000007
1_4_2013-05-10,30093.9733
1_4_2013-05-17,31376.01539999999
1_4_2013-05-24,29786.760299999994
1_4_2013-05-31,28719.349000000013
1_4_2013-06-07,30246.7976
1_4_2013-06-14,29945.178499999995
1_4_2013-06-21,30044.3643
1_4_2013-06-28,30839.565899999994
1_4_2013-07-05,29511.334399999996
1_4_2013-07-12,29414.362200000007
1_4_2013-07-19,30177.615
1_4_2013-07-26,28464.91019999999
1_5_2012-11-02,20874.848400000006
1_5_2012-11-09,21971.02250000001
1_5_2012-11-16,20717.005300000008
1_5_2012-11-23,30415.549800000015
1_5_2012-11-30,20036.042599999993
1_5_2012-12-07,22715.683300000004
1_5_2012-12-14,19265.8947
1_5_2012-12-21,19735.255400000002
1_5_2012-12-28,25335.68230000002
1_5_2013-01-04,18700.755600000008
1_5_2013-01-11,18927.34640000002
1_5_2013-01-18,18790.1342
1_5_2013-01-25,19204.041399999984
1_5_2013-02-01,22439.975199999997
1_5_2013-02-08,31353.760300000013
1_5_2013-02-15,25818.52960000001
1_5_2013-02-22,24264.033100000004
1_5_2013-03-01,21683.524199999996
1_5_2013-03-08,18264.116900000005
1_5_2013-03-15,20243.659999999996
1_5_2013-03-22,22111.835300000006
1_5_2013-03-29,20870.4465
1_5_2013-04-05,20917.4582
1_5_2013-04-12,19671.243399999992
1_5_2013-04-19,18998.103799999997
1_5_2013-04-26,19496.30459999999
1_5_2013-05-03,18613.088399999993
1_5_2013-05-10,21642.457799999996
1_5_2013-05-17,21972.98240000001
1_5_2013-05-24,20041.6505
1_5_2013-05-31,18424.954399999995
1_5_2013-06-07,19804.331399999995
1_5_2013-06-14,19965.032600000017
